"employee_id","department_name","gender","job_title"
47107,ASSEMBLY COMMON     ,,BORING OPERATOR
9566,ASSEMBLY,female,
52,,,
1816,HOUSEKEEPING,male,
2,Administration,,
43,Administration,,
44,Administration,,
5,Administration,,
47456,,,
1609,ASSEMBLY,male,
1610,ASSEMBLY,male,
1611,ASSEMBLY,male,
1612,ASSEMBLY,male,
1613,ASSEMBLY,female,
1614,SURFACE TREATMENT,male,
51777,,,
47261,ASSEMBLY COMMON     ,,BORING OPERATOR
1077,ASSEMBLY,male,
1225,ASSEMBLY,male,
1598,ASSEMBLY,male,
1132,ASSEMBLY,male,
47522,,,
29437,PRODUCTION,male,
47553,WELDING COMMON      ,female,BORING OPERATOR
30,WELDING COMMON      ,,BORING
47427,ASSEMBLY COMMON     ,,
47174,,,
2282,MOULDING,male,
1801,HOUSEKEEPING,male,
817,ASSEMBLY,male,
2232,MOULDING,male,
47331,ASSEMBLY COMMON     ,,
2360,ASSEMBLY,male,
9600,ASSEMBLY,female,
47450,ASSEMBLY COMMON     ,,
2992,ASSEMBLY,male,
2326,MOULDING,male,
2324,MOULDING,male,
29402,PRODUCTION,female,
811,ASSEMBLY,male,
1053,ASSEMBLY,male,
2838,,male,
2999,ASSEMBLY,male,
3000,ASSEMBLY,female,
29473,PRODUCTION,male,
51751,,,
1619,ASSEMBLY,male,
1620,ASSEMBLY,male,
1621,ASSEMBLY,male,
2499,SECURITY,male,
714,ASSEMBLY,female,
1623,ASSEMBLY,male,
51792,,,
924,SURFACE TREATMENT,male,
51793,,,
1624,ASSEMBLY,male,
1596,ASSEMBLY,male,
1625,ASSEMBLY,male,
1626,ASSEMBLY,male,
1627,ASSEMBLY,male,
3001,ASSEMBLY,female,
3002,ASSEMBLY,male,
1060,ASSEMBLY,female,
3003,ASSEMBLY,male,
51774,,,
1061,ASSEMBLY,male,
31,PRODUCTION ENGG     ,,BUFFING OP
51775,,,
1062,ASSEMBLY,male,
1063,ASSEMBLY,male,
51776,,female,EXECUTIVE
3004,ASSEMBLY,male,
1064,ASSEMBLY,male,
1791,,male,
1065,ASSEMBLY,male,
1827,HOUSEKEEPING,male,
1066,ASSEMBLY,male,
1067,ASSEMBLY,male,
1068,ASSEMBLY,male,
1069,ASSEMBLY,male,
1070,ASSEMBLY,male,
1071,ASSEMBLY,female,
3005,ASSEMBLY,male,
3006,ASSEMBLY,male,
3007,ASSEMBLY,male,
3008,ASSEMBLY,male,
3009,ASSEMBLY,male,
3010,ASSEMBLY,male,
3011,ASSEMBLY,male,
3012,ASSEMBLY,male,
3013,ASSEMBLY,male,
29475,PRODUCTION,male,
29476,PRODUCTION,male,
1078,ASSEMBLY,male,
29477,PRODUCTION,male,
1085,ASSEMBLY,male,
1041,ASSEMBLY,male,
1042,,male,
1043,ASSEMBLY,male,
1044,DISPATCH,male,
1045,ASSEMBLY,male,
1046,ASSEMBLY,male,
1047,SURFACE TREATMENT,female,
1048,SURFACE TREATMENT,female,
1049,QUALITY,male,
1050,ASSEMBLY,male,
1051,ASSEMBLY,male,
1052,ASSEMBLY,female,
1054,DISPATCH,male,
1055,ASSEMBLY,male,
1056,ASSEMBLY,male,
1057,ASSEMBLY,male,
1058,ASSEMBLY,male,
1059,ASSEMBLY,male,
1072,ASSEMBLY,male,
1073,DISPATCH,male,
1074,ASSEMBLY,male,
1075,ASSEMBLY,male,
1076,ASSEMBLY,male,
6,Administration,,
9218,,,
2207,MOULDING,male,
53,Administration,,
51744,,,
47,Administration,,
12141,,,
29532,Administration,,
56,Administration,,
46,,,
47452,,,
47453,,,
57,Administration,,
47454,,,
47455,,,
12140,,,
29,,,
33,,,
34,,,
39,Administration,,
1142,ASSEMBLY,male,
1124,ASSEMBLY,male,
1125,ASSEMBLY,male,
1126,ASSEMBLY,male,
1127,ASSEMBLY,male,
1128,ASSEMBLY,male,
29539,,,
1129,ASSEMBLY,male,
1130,ASSEMBLY,male,
29406,PRODUCTION,male,
29403,PRODUCTION,male,
29411,PRODUCTION,male,
29407,PRODUCTION,male,
1131,ASSEMBLY,male,
1133,ASSEMBLY,male,
1136,ASSEMBLY,male,
1137,ASSEMBLY,male,
1138,ASSEMBLY,male,
1139,ASSEMBLY,male,
1140,ASSEMBLY,male,
1141,ASSEMBLY,male,
29424,PRODUCTION,male,
29427,PRODUCTION,male,
29429,PRODUCTION,male,
29428,PRODUCTION,male,
29562,Administration,,
47515,,,
29430,PRODUCTION,male,
29431,PRODUCTION,male,
51746,,,
29434,PRODUCTION,male,
47516,,,
29435,PRODUCTION,male,
29436,PRODUCTION,male,
47517,,,
47518,,,
47519,,,
47520,,,
29432,PRODUCTION,male,
29426,PRODUCTION,male,
29425,PRODUCTION,male,
29439,PRODUCTION,male,
29440,PRODUCTION,male,
29441,PRODUCTION,male,
29442,PRODUCTION,male,
29443,PRODUCTION,male,
29444,PRODUCTION,male,
3505,MOULDING,female,
3506,ASSEMBLY,female,
3507,MOULDING,female,
3508,SURFACE TREATMENT,female,
29445,PRODUCTION,male,
1232,SURFACE TREATMENT,male,
1203,ASSEMBLY,male,
1204,ASSEMBLY,male,
1205,ASSEMBLY,male,
1206,ASSEMBLY,male,
1207,SURFACE TREATMENT,male,
1208,ASSEMBLY,male,
1209,SURFACE TREATMENT,male,
1210,ASSEMBLY,male,
1211,ASSEMBLY,male,
1212,ASSEMBLY,male,
1213,ASSEMBLY,male,
1214,ASSEMBLY,male,
1215,ASSEMBLY,male,
1216,ASSEMBLY,female,
1217,ASSEMBLY,male,
1218,ASSEMBLY,male,
1219,ASSEMBLY,male,
1220,ASSEMBLY,male,
1221,ASSEMBLY,male,
1222,ASSEMBLY,female,
1223,ASSEMBLY,male,
1224,ASSEMBLY,male,
1226,ASSEMBLY,male,
1227,ASSEMBLY,male,
1228,ASSEMBLY,male,
1229,SURFACE TREATMENT,male,
1230,SURFACE TREATMENT,male,
1231,SURFACE TREATMENT,male,
29454,PRODUCTION,male,
607,ASSEMBLY,male,
608,ASSEMBLY,male,
609,ASSEMBLY,male,
610,ASSEMBLY,male,
611,ASSEMBLY,male,
612,ASSEMBLY,male,
613,ASSEMBLY,male,
614,ASSEMBLY,male,
615,ASSEMBLY,female,
616,ASSEMBLY,male,
617,SURFACE TREATMENT,male,
618,SURFACE TREATMENT,male,
619,ASSEMBLY,male,
620,ASSEMBLY,male,
621,SURFACE TREATMENT,male,
622,SURFACE TREATMENT,male,
623,ASSEMBLY,male,
29455,PRODUCTION,male,
29456,PRODUCTION,male,
624,ASSEMBLY,male,
